"domain","site"
"ngs.wd1.myworkdayjobs.com","ngs_external_career_site"
"noblecorp.wd1.myworkdayjobs.com","noblecorp"
"nrpgroup.wd1.myworkdayjobs.com","NRP"
"pae.wd1.myworkdayjobs.com","Amentum_Careers"
"path.wd1.myworkdayjobs.com","External"
"paypal.wd1.myworkdayjobs.com","jobs"
"poet.wd1.myworkdayjobs.com","POET"
"polarsemi.wd501.myworkdayjobs.com","Polar"
"priceline.wd1.myworkdayjobs.com","Priceline"
"primetherapeutics.wd1.myworkdayjobs.com","PrimeTherapeuticsCareers"
"pursuitcollection.wd501.myworkdayjobs.com","pursuit"
"rayonier.wd501.myworkdayjobs.com","Rayonier_Careers"
"rwlasvegas.wd501.myworkdayjobs.com","RWLV_External_Careers"
"sellagroup.wd3.myworkdayjobs.com","ID01"
"simcorp.wd3.myworkdayjobs.com","SimCorp_Jobs"
"sky.wd3.myworkdayjobs.com","sky_careers"
"sok.wd502.myworkdayjobs.com","S-ryhman-avoimet-tyopaikat"
"soti.wd3.myworkdayjobs.com","Careers"
"springernature.wd3.myworkdayjobs.com","SpringerNatureCareers"
"stellamccartney.wd3.myworkdayjobs.com","SMCExternal"
"storaenso.wd502.myworkdayjobs.com","Stora_Enso_site_opportunities"
"storebrand.wd3.myworkdayjobs.com","SPP_Careers"
"svha.wd3.myworkdayjobs.com","SVHA_SVHA"
"swarovski.wd3.myworkdayjobs.com","swarovski"
"swisslife.wd3.myworkdayjobs.com","livit-ag-career-stellenboerse"
"swisslife.wd3.myworkdayjobs.com","Swiss_Life_Deutschland_Stellenangebote"
"swisslife.wd3.myworkdayjobs.com","Swiss_Life_Division_France_Career_Site"
"swisslife.wd3.myworkdayjobs.com","Swiss_Life_International_Division_Career_Site"
"synthomer.wd3.myworkdayjobs.com","synthomercareers"
"theapexgroup.wd3.myworkdayjobs.com","apexgroupcareers"
"tieto.wd3.myworkdayjobs.com","Tieto_Careers_External_Site"
"tmx.wd3.myworkdayjobs.com","TMX_Careers"
"tomtailorgroup.wd502.myworkdayjobs.com","TomTailor"
"ttiemea.wd3.myworkdayjobs.com","TTI"
"ukgrantt.wd3.myworkdayjobs.com","CareersGrantThornton"
"unhcr.wd3.myworkdayjobs.com","External"
"unhcr.wd3.myworkdayjobs.com","FormerStaff"
"willamette.wd501.myworkdayjobs.com","WillametteUniversityJobs"
"wri.wd501.myworkdayjobs.com","WRI"
"wri.wd501.myworkdayjobs.com","WRI_India"
"yle.wd502.myworkdayjobs.com","External"
"zebra.wd501.myworkdayjobs.com","Zebra_careers"
"zeppelin.wd3.myworkdayjobs.com","careers"
"zuehlke.wd3.myworkdayjobs.com","Zuhlke-Careers"
